usageID,meterID,date,kWh
U12130,M02114,2024-06-21,30.68
U12131,M01094,2024-05-11,44.83
U12132,M01124,2025-05-11,56.78
U12133,M01633,2024-04-29,55.76
U12134,M02201,2023-12-29,55.67
U12135,M00863,2024-09-13,66.73
U12136,M01966,2023-11-29,74.55
U12137,M00227,2023-12-30,85.12
U12138,M02004,2024-01-15,44.75
U12139,M00381,2025-04-11,72.52
U12140,M00526,2024-09-15,53.14
U12141,M02104,2024-11-24,87.82
U12142,M02409,2024-12-26,9.74
U12143,M00893,2023-10-04,18.31
U12144,M02068,2024-05-23,18.15
U12145,M00196,2024-10-30,32.44
U12146,M02356,2024-12-05,15.5
U12147,M02484,2024-04-23,92.96
U12148,M01493,2024-07-21,60.67
U12149,M00659,2024-01-14,87.97
U12150,M02493,2025-04-03,49.34
U12151,M01666,2023-11-04,2.58
U12152,M01114,2025-02-03,81.23
U12153,M00811,2024-05-09,26.67
U12154,M01327,2025-01-03,10.39
U12155,M00636,2024-04-17,68.12
U12156,M00465,2024-04-12,54.04
U12157,M00299,2024-05-29,47.25
U12158,M01144,2024-12-17,76.91
U12159,M00955,2023-10-05,8.09
U12160,M02266,2025-03-13,81.18
U12161,M00224,2024-02-05,67.65
U12162,M01553,2023-08-22,32.95
U12163,M01392,2023-12-08,73.21
U12164,M01690,2024-04-30,84.55
U12165,M00545,2025-01-08,84.47
U12166,M01593,2024-02-22,81.04
U12167,M00439,2024-03-08,13.94
U12168,M02398,2025-03-16,24.63
U12169,M02229,2025-01-28,98.97
U12170,M00544,2024-09-29,27.59
U12171,M01660,2024-01-22,72.38
U12172,M02214,2023-12-22,27.08
U12173,M02077,2023-09-27,97.47
U12174,M00565,2025-02-20,58.66
U12175,M00262,2023-09-20,54.95
U12176,M01816,2024-09-07,10.08
U12177,M01773,2025-01-30,31.38
U12178,M02114,2024-02-14,89.37
U12179,M01511,2024-08-01,56.89
U12180,M02016,2023-10-12,30.88
U12181,M01446,2024-02-29,73.85
U12182,M01076,2023-12-27,19.27
U12183,M00076,2024-04-12,80.34
U12184,M01305,2025-03-08,93.98
U12185,M01660,2023-12-22,10.74
U12186,M00711,2024-08-08,66.1
U12187,M01686,2023-07-28,14.55
U12188,M02361,2024-06-25,82.39
U12189,M01994,2024-11-22,48.87
U12190,M00273,2024-05-04,39.11
U12191,M02227,2024-03-22,20.36
U12192,M00338,2024-01-29,56.96
U12193,M02139,2024-01-30,4.87
U12194,M01537,2023-08-17,65.67
U12195,M01066,2023-08-03,39.67
U12196,M01479,2024-08-04,2.2
U12197,M01312,2023-06-26,35.51
U12198,M02389,2024-12-25,28.03
U12199,M02231,2025-05-11,98.81
U12200,M02000,2023-07-21,21.87
U12201,M01126,2024-12-09,29.16
U12202,M00263,2024-04-20,5.75
U12203,M01931,2025-03-01,59.32
U12204,M00610,2025-01-05,41.28
U12205,M02385,2023-12-30,30.17
U12206,M00467,2024-06-25,54.51
U12207,M00917,2024-05-11,10.88
U12208,M01569,2023-06-29,1.68
U12209,M00500,2025-03-14,71.18
U12210,M01370,2024-08-20,27.8
U12211,M00524,2023-06-21,84.99
U12212,M01703,2025-04-28,26.27
U12213,M01145,2024-03-29,97.21
U12214,M00527,2023-07-16,60.1
U12215,M02387,2024-06-24,84.29
U12216,M00153,2024-08-25,40.08
U12217,M01815,2025-02-19,76.92
U12218,M00423,2023-10-26,44.81
U12219,M01136,2024-02-27,98.07
U12220,M02300,2025-03-08,39.33
U12221,M01223,2025-04-22,59.01
U12222,M01341,2024-07-29,89.09
U12223,M02277,2024-09-25,50.34
U12224,M00077,2024-01-02,11.03
U12225,M00833,2024-01-15,59.77
U12226,M02277,2023-07-19,80.54
U12227,M02029,2024-06-22,80.18
U12228,M00589,2023-07-12,98.23
U12229,M00818,2025-02-20,94.77
U12230,M00041,2025-06-09,41.08
U12231,M01891,2025-02-09,25.81
U12232,M01458,2023-10-29,84.88
U12233,M00996,2025-06-09,41.69
U12234,M00788,2023-08-24,59.21
U12235,M01263,2023-12-26,78.21
U12236,M01370,2024-01-11,71.64
U12237,M00636,2023-10-28,17.97
U12238,M01507,2024-09-17,32.62
U12239,M00207,2023-08-09,43.8
U12240,M00125,2025-02-11,45.61
U12241,M01977,2024-04-03,10.84
U12242,M01474,2023-10-02,8.59
U12243,M01616,2024-12-01,96.72
U12244,M00485,2023-11-04,99.73
U12245,M01574,2023-07-20,5.08
U12246,M00173,2023-12-29,83.55
U12247,M00812,2024-11-17,67.94
U12248,M01655,2025-03-20,79.2
U12249,M00946,2024-05-10,65.47
U12250,M00054,2023-11-03,3.65
U12251,M00360,2024-09-27,36.64
U12252,M00484,2024-12-01,72.59
U12253,M01030,2024-10-02,45.56
U12254,M01124,2024-01-07,99.72
U12255,M01663,2025-02-06,7.72
U12256,M00549,2024-08-08,96.65
U12257,M02304,2025-01-09,40.17
U12258,M02428,2025-04-15,38.04
U12259,M00669,2024-10-21,38.95
U12260,M01697,2024-11-22,82.01
U12261,M00297,2024-05-14,81.75
U12262,M01947,2025-02-08,72.74
U12263,M02055,2024-12-11,96.99
U12264,M00193,2023-12-21,47.22
U12265,M01585,2024-02-27,56.23
U12266,M00322,2025-04-29,86.12
U12267,M01152,2024-07-23,7.64
U12268,M02265,2025-05-30,30.54
U12269,M00175,2023-10-28,4.23
U12270,M01372,2023-11-24,76.01
U12271,M01519,2024-03-22,32.15
U12272,M00027,2023-07-07,39.78
U12273,M02454,2023-07-11,44.53
U12274,M00875,2024-05-08,15.89
U12275,M01926,2023-12-30,17.68
U12276,M00468,2024-05-04,6.54
U12277,M00005,2024-05-25,87.77
U12278,M00189,2023-12-19,80.32
U12279,M01138,2024-10-08,14.6
U12280,M01357,2023-06-27,61.82
U12281,M02206,2025-02-14,67.56
U12282,M02352,2024-02-15,98.15
U12283,M02148,2024-03-30,76.96
U12284,M01144,2025-06-04,66.71
U12285,M01319,2025-02-06,1.45
U12286,M01071,2024-05-04,36.9
U12287,M02044,2025-03-24,35.55
U12288,M00074,2025-05-14,93.68
U12289,M01239,2024-08-02,77.0
U12290,M00614,2025-01-11,80.58
U12291,M00663,2024-06-02,98.85
U12292,M02391,2024-08-22,69.77
U12293,M01761,2024-07-01,23.61
U12294,M00036,2023-07-19,19.01
U12295,M00487,2025-06-08,35.65
U12296,M00948,2024-02-23,21.64
U12297,M01116,2023-08-03,96.91
U12298,M02221,2024-07-19,4.26
U12299,M00046,2023-08-17,2.9
U12300,M02277,2024-07-30,41.53
U12301,M02288,2024-03-16,40.16
U12302,M01226,2024-09-09,30.63
U12303,M00574,2023-08-03,48.29
U12304,M02427,2023-09-14,68.08
U12305,M01544,2024-08-06,89.83
U12306,M00532,2023-12-02,5.5
U12307,M01431,2024-10-10,76.62
U12308,M01578,2024-10-01,28.31
U12309,M00054,2024-06-04,58.6
U12310,M01813,2024-07-30,5.99
U12311,M00238,2024-05-10,81.43
U12312,M01773,2023-12-15,71.36
U12313,M00205,2025-05-12,59.32
U12314,M02199,2024-08-14,46.58
U12315,M01915,2024-12-25,68.51
U12316,M02086,2023-12-01,6.86
U12317,M00426,2024-08-14,28.38
U12318,M00713,2024-01-03,5.28
U12319,M01083,2024-10-07,56.22
U12320,M02181,2024-08-13,40.73
U12321,M00570,2023-08-20,15.28
U12322,M00047,2024-08-08,39.33
U12323,M00827,2024-04-23,53.81
U12324,M01632,2024-03-21,20.64
U12325,M00897,2024-11-11,19.7
U12326,M01777,2025-06-12,21.93
U12327,M00120,2024-11-06,93.65
U12328,M00236,2024-12-15,61.96
U12329,M00350,2025-03-30,26.72
U12330,M00918,2023-11-29,18.95
U12331,M00896,2023-10-19,83.95
U12332,M02313,2024-09-17,17.93
U12333,M00031,2023-09-03,21.18
U12334,M01736,2023-11-26,81.84
U12335,M00174,2023-07-16,6.8
U12336,M01687,2025-02-04,30.73
U12337,M02439,2025-04-06,6.16
U12338,M00347,2023-12-20,34.78
U12339,M00564,2023-07-16,71.27
U12340,M01577,2023-12-30,30.76
U12341,M00512,2023-12-09,28.38
U12342,M00848,2024-01-21,13.54
U12343,M00267,2024-08-28,40.08
U12344,M00604,2024-01-19,5.68
U12345,M02294,2023-10-21,78.76
U12346,M00049,2023-11-02,61.07
U12347,M01992,2023-09-28,33.07
U12348,M02090,2024-06-21,46.9
U12349,M00236,2024-12-09,50.0
U12350,M00969,2024-12-06,88.37
U12351,M01163,2024-01-18,89.78
U12352,M01158,2023-06-25,94.96
U12353,M01788,2025-02-18,12.72
U12354,M00758,2023-09-04,85.69
U12355,M00696,2024-12-17,51.95
U12356,M00592,2023-11-30,7.13
U12357,M00404,2023-09-17,86.13
U12358,M02159,2025-02-16,34.87
U12359,M02292,2025-03-15,78.95
U12360,M01654,2024-10-29,49.21
U12361,M00463,2024-04-23,57.45
U12362,M00337,2025-02-12,34.58
U12363,M01359,2025-05-30,36.48
U12364,M00383,2025-05-15,77.09
U12365,M00692,2025-06-15,29.38
U12366,M01767,2024-11-08,48.3
U12367,M02278,2024-12-16,82.65
U12368,M01654,2024-03-15,73.68
U12369,M00235,2024-10-01,12.51
U12370,M00054,2024-05-20,14.25
U12371,M01616,2024-06-03,52.5
U12372,M01453,2024-05-23,32.34
U12373,M02161,2023-08-06,79.58
U12374,M02366,2025-03-05,54.93
U12375,M00798,2025-02-01,91.56
U12376,M00559,2024-12-26,16.04
U12377,M00829,2023-08-13,72.85
U12378,M00170,2024-07-08,12.55
U12379,M00522,2024-12-16,15.74
U12380,M00769,2024-09-25,37.93
U12381,M00927,2024-10-02,52.25
U12382,M01282,2024-02-17,68.34
U12383,M02413,2024-11-19,74.87
U12384,M00126,2024-02-05,14.6
U12385,M00763,2024-02-08,75.13
U12386,M00605,2024-08-29,93.69
U12387,M01625,2024-11-13,75.47
U12388,M00743,2024-10-18,31.7
U12389,M00956,2025-01-23,15.37
U12390,M01325,2025-01-28,81.48
U12391,M02341,2024-04-01,4.38
U12392,M01093,2025-02-12,49.31
U12393,M01589,2024-12-05,30.71
U12394,M00381,2024-08-26,48.0
U12395,M02127,2024-05-23,71.89
U12396,M02030,2024-12-10,28.67
U12397,M02430,2025-04-08,70.93
U12398,M00249,2024-05-25,27.06
U12399,M01426,2024-12-24,26.24
U12400,M00624,2025-03-29,87.56
U12401,M02151,2024-07-17,42.59
U12402,M01931,2024-11-20,23.0
U12403,M02324,2024-06-13,78.24
U12404,M00659,2025-03-20,77.67
U12405,M01390,2024-07-22,84.14
U12406,M00862,2025-04-12,21.82
U12407,M02234,2024-05-17,55.6
U12408,M01887,2024-03-10,22.47
U12409,M00939,2023-11-10,51.41
U12410,M00803,2024-12-06,52.71
U12411,M00230,2025-05-14,1.29
U12412,M01443,2024-05-01,31.03
U12413,M01775,2025-04-28,74.74
U12414,M02288,2025-06-16,32.19
U12415,M02118,2025-03-01,18.76
U12416,M01880,2024-12-21,70.34
U12417,M00111,2023-11-22,45.92
U12418,M01249,2024-03-12,41.39
U12419,M02070,2025-04-26,49.06
U12420,M00298,2023-09-08,95.39
U12421,M00944,2025-03-03,34.47
U12422,M00518,2025-03-26,15.33
U12423,M02335,2023-09-14,67.03
U12424,M02225,2023-11-16,83.0
U12425,M00174,2023-07-04,88.96
U12426,M02018,2025-02-07,87.14
U12427,M00079,2025-05-12,49.81
U12428,M02319,2024-07-08,9.2
U12429,M01405,2024-07-11,3.63
U12430,M01825,2025-03-25,45.45
U12431,M01815,2024-05-13,15.81
U12432,M00727,2025-04-19,76.54
U12433,M01431,2024-11-20,76.39
U12434,M01566,2025-04-18,8.08
U12435,M01644,2025-03-26,63.52
U12436,M00854,2024-05-21,45.59
U12437,M00222,2025-04-06,63.18
U12438,M02407,2024-11-06,84.32
U12439,M01033,2024-07-27,71.93
U12440,M01697,2024-08-31,8.73
U12441,M02278,2024-01-30,2.31
U12442,M01621,2024-08-07,35.66
U12443,M00512,2025-04-18,37.59
U12444,M02459,2025-04-12,7.09
U12445,M02429,2024-04-24,28.98
U12446,M01093,2025-02-15,43.24
U12447,M01650,2025-04-01,76.56
U12448,M00723,2025-05-03,71.86
U12449,M00004,2023-08-20,59.11
U12450,M02035,2025-01-13,83.69
U12451,M02365,2023-12-05,48.79
U12452,M00081,2025-02-24,72.59
U12453,M01025,2024-12-25,88.48
U12454,M00934,2024-01-15,18.68
U12455,M01719,2025-04-02,87.65
U12456,M00778,2025-05-05,19.6
U12457,M02429,2025-02-23,75.38
U12458,M02346,2025-05-14,35.11
U12459,M02311,2023-09-08,42.84
U12460,M01664,2025-05-22,84.1
U12461,M01313,2024-04-30,89.47
U12462,M00113,2023-08-21,40.58
U12463,M02200,2024-01-04,91.37
U12464,M02424,2024-02-09,57.27
U12465,M01157,2025-03-26,85.69
U12466,M01923,2024-03-21,98.83
U12467,M01225,2023-06-25,68.41
U12468,M01583,2025-04-06,10.43
U12469,M00539,2024-05-22,84.94
U12470,M02279,2024-01-09,76.03
U12471,M01199,2023-11-29,74.22
U12472,M00149,2024-10-25,44.87
U12473,M00886,2024-06-02,57.54
U12474,M01377,2025-04-02,70.8
U12475,M01770,2023-07-04,61.77
U12476,M01419,2023-08-09,28.21
U12477,M00093,2024-04-16,67.94
U12478,M01150,2024-12-17,52.58
U12479,M00216,2024-03-26,78.27
U12480,M01710,2024-08-11,8.53
U12481,M02357,2024-10-11,45.25
U12482,M00794,2023-06-21,22.94
U12483,M00346,2025-05-26,97.03
U12484,M00920,2025-06-17,78.8
U12485,M01519,2024-11-14,18.81
U12486,M00093,2024-04-11,12.12
U12487,M00358,2023-12-20,5.62
U12488,M02258,2023-08-22,17.89
U12489,M00577,2024-06-11,28.5
U12490,M01406,2024-08-18,89.5
U12491,M01905,2025-03-19,51.94
U12492,M01023,2024-03-21,36.1
U12493,M00024,2024-02-17,44.31
U12494,M01341,2024-01-06,82.95
U12495,M00105,2025-04-30,37.71
U12496,M00089,2023-09-03,69.69
U12497,M00482,2025-01-31,41.55
U12498,M02450,2025-02-06,87.84
U12499,M01771,2024-05-05,40.86
U12500,M01804,2023-09-17,83.04
U12501,M02004,2023-07-04,43.98
U12502,M00432,2024-07-24,21.89
U12503,M00989,2025-04-28,97.1
U12504,M02467,2024-11-16,33.77
U12505,M00590,2023-08-25,53.07
U12506,M01005,2024-04-19,63.41
U12507,M01469,2023-07-27,67.09
U12508,M01475,2025-04-11,19.54
U12509,M01738,2024-09-07,55.78
U12510,M00043,2023-06-19,91.59
U12511,M01106,2024-08-06,39.29
U12512,M02072,2023-09-23,19.96
U12513,M00295,2024-10-18,54.95
U12514,M01073,2024-03-28,35.19
U12515,M00888,2025-03-09,33.65
U12516,M00245,2025-02-07,24.01
U12517,M01976,2025-06-02,68.27
U12518,M02473,2024-02-05,33.1
U12519,M00197,2023-11-30,70.83
U12520,M02411,2023-08-22,46.06
U12521,M01915,2024-06-02,42.95
U12522,M00532,2025-02-05,14.02
U12523,M01565,2025-02-17,77.67
U12524,M01394,2025-03-13,7.09
U12525,M01011,2025-03-20,36.32
U12526,M00832,2024-09-05,99.09
U12527,M00248,2023-09-14,82.9
U12528,M01177,2024-05-16,31.38
U12529,M00126,2024-07-08,97.58
U12530,M02076,2024-01-31,97.32
U12531,M00335,2025-01-01,50.19
U12532,M00184,2024-07-17,62.36
U12533,M02104,2024-11-23,46.65
U12534,M01933,2024-07-05,87.38
U12535,M00078,2025-06-05,53.16
U12536,M01648,2023-12-19,73.99
U12537,M00591,2024-09-07,7.67
U12538,M01014,2024-12-03,6.14
U12539,M00778,2025-03-02,82.55
U12540,M02061,2023-10-20,11.35
U12541,M00683,2023-07-20,60.81
U12542,M02321,2024-04-19,5.52
U12543,M00360,2023-10-17,85.63
U12544,M02370,2025-05-09,5.0
U12545,M00501,2025-01-20,72.9
U12546,M00122,2024-01-20,52.51
U12547,M01663,2024-06-16,59.89
U12548,M02175,2025-02-15,40.05
U12549,M00103,2024-12-17,78.18
U12550,M02031,2023-08-11,49.69
U12551,M01874,2025-04-17,27.47
U12552,M00169,2023-07-08,62.37
U12553,M01591,2024-05-06,79.8
U12554,M01284,2024-07-27,94.32
U12555,M00721,2024-11-21,37.86
U12556,M02075,2024-07-07,13.66
U12557,M00095,2024-03-21,14.65
U12558,M00743,2024-09-17,25.0
U12559,M01978,2025-02-02,29.08
U12560,M01995,2024-03-20,28.49
U12561,M00091,2024-10-06,5.51
U12562,M01047,2023-06-21,1.57
U12563,M02039,2025-03-21,43.01
U12564,M00038,2025-03-03,73.07
U12565,M01681,2024-11-14,47.35
U12566,M00880,2024-02-07,43.34
U12567,M02402,2025-04-11,66.92
U12568,M02250,2025-06-15,70.7
U12569,M01107,2024-09-29,65.48
U12570,M01433,2023-09-16,20.92
U12571,M00175,2025-03-19,82.13
U12572,M01441,2023-09-04,4.32
U12573,M02429,2025-01-04,73.92
U12574,M01041,2024-04-03,46.74
U12575,M02179,2024-08-23,28.26
U12576,M02101,2024-12-03,42.05
U12577,M00081,2024-11-21,23.46
U12578,M02039,2024-05-29,26.51
U12579,M00211,2024-07-21,12.85
U12580,M01539,2024-06-04,83.75
U12581,M01214,2023-11-29,65.22
U12582,M01148,2025-01-28,31.54
U12583,M02162,2023-10-04,53.41
U12584,M01387,2024-11-18,38.0
U12585,M00139,2024-07-14,21.48
U12586,M02482,2025-06-14,71.26
U12587,M02120,2024-05-25,26.05
U12588,M00671,2024-06-22,35.18
U12589,M00275,2024-09-28,74.74
U12590,M01749,2024-06-20,51.02
U12591,M00550,2024-11-10,13.08
U12592,M01861,2024-03-16,30.29
U12593,M01802,2024-09-02,15.33
U12594,M00818,2023-12-02,8.94
U12595,M02307,2024-04-15,67.6
U12596,M00789,2024-11-27,30.95
U12597,M01241,2024-01-06,32.22
U12598,M00958,2024-07-24,26.18
U12599,M01733,2023-09-07,8.13
U12600,M01663,2023-12-17,76.23
U12601,M00241,2025-01-12,88.82
U12602,M02386,2025-04-12,79.17
U12603,M02415,2023-09-01,64.68
U12604,M02084,2024-11-04,40.41
U12605,M01694,2023-08-24,80.08
U12606,M01803,2023-06-28,89.83
U12607,M02016,2024-09-25,70.12
U12608,M00747,2023-12-25,3.02
U12609,M02122,2024-11-21,46.89
U12610,M02265,2024-12-08,98.88
U12611,M00763,2024-02-29,33.07
U12612,M00020,2024-05-21,28.11
U12613,M02151,2024-07-14,87.73
U12614,M01065,2025-06-07,11.31
U12615,M00199,2023-11-27,24.18
U12616,M00877,2024-09-28,7.41
U12617,M00045,2024-09-11,32.17
U12618,M02118,2024-04-25,22.59
U12619,M01780,2024-11-01,67.46
U12620,M01349,2023-09-11,32.53
U12621,M00147,2025-06-14,20.88
U12622,M00633,2024-10-26,78.81
U12623,M02361,2023-09-27,2.58
U12624,M00970,2024-03-30,85.57
U12625,M02192,2023-12-30,7.57
U12626,M01188,2024-12-10,29.64
U12627,M00940,2025-01-15,40.99
U12628,M01689,2023-12-03,29.22
U12629,M01495,2025-01-18,70.37
U12630,M00843,2025-03-24,27.73
U12631,M00576,2025-05-01,98.02
U12632,M00380,2025-01-30,50.59
U12633,M01234,2024-04-25,68.89
U12634,M01450,2024-08-05,8.47
U12635,M02202,2025-01-03,85.84
U12636,M00193,2024-02-01,28.52
U12637,M00432,2024-07-14,20.8
U12638,M00229,2024-05-21,59.08
U12639,M01976,2024-02-29,67.44
U12640,M00394,2023-09-26,83.04
U12641,M01496,2025-06-14,61.34
U12642,M00404,2024-09-30,49.55
U12643,M02147,2024-10-20,60.66
U12644,M02123,2024-11-15,53.33
U12645,M00509,2024-10-17,85.92
U12646,M01275,2024-10-13,11.14
U12647,M02408,2025-03-27,49.17
U12648,M00484,2024-12-26,73.79
U12649,M01074,2023-07-04,14.68
U12650,M00029,2025-06-16,27.5
U12651,M00958,2023-10-27,17.0
U12652,M01092,2024-10-19,85.85
U12653,M02277,2023-10-12,76.35
U12654,M01234,2023-12-19,30.22
U12655,M00534,2023-09-11,19.51
U12656,M00268,2024-02-07,3.97
U12657,M01802,2024-10-23,26.78
U12658,M01521,2023-08-07,82.12
U12659,M00418,2023-10-14,81.15
U12660,M01506,2025-05-02,13.23
U12661,M01602,2024-03-05,88.35
U12662,M00331,2024-11-15,37.94
U12663,M00962,2024-04-07,93.61
U12664,M02428,2023-11-05,59.73
U12665,M02416,2023-11-06,51.71
U12666,M02284,2024-11-04,8.03
U12667,M01582,2025-02-23,42.84
U12668,M00765,2025-04-25,45.29
U12669,M00692,2023-10-26,89.82
U12670,M01150,2024-12-05,86.4
U12671,M00258,2023-11-25,97.36
U12672,M00945,2024-02-01,80.7
U12673,M01812,2025-01-29,55.48
U12674,M00361,2024-04-14,61.78
U12675,M00884,2024-01-20,8.02
U12676,M00342,2024-07-01,34.91
U12677,M00562,2025-05-07,38.84
U12678,M02360,2024-10-25,80.06
U12679,M02168,2025-03-16,60.65
U12680,M00832,2025-06-07,81.75
U12681,M01750,2024-07-08,60.74
U12682,M02098,2024-02-09,73.29
U12683,M01468,2023-07-07,94.13
U12684,M00517,2023-11-24,56.85
U12685,M00751,2024-06-30,25.2
U12686,M01195,2024-06-01,48.2
U12687,M02310,2024-09-28,4.46
U12688,M01547,2024-01-30,1.4
U12689,M01427,2023-08-25,37.19
U12690,M01972,2024-10-28,27.21
U12691,M01187,2023-11-07,11.28
U12692,M02332,2024-07-16,32.67
U12693,M00640,2025-03-03,66.38
U12694,M00968,2024-05-07,29.16
U12695,M01213,2025-05-11,78.19
U12696,M00372,2025-04-02,86.68
U12697,M01191,2023-08-14,54.0
U12698,M01395,2024-11-02,18.79
U12699,M00941,2023-11-08,16.93
U12700,M01016,2023-09-02,47.1
U12701,M02195,2024-12-07,59.92
U12702,M01005,2023-12-07,31.63
U12703,M02231,2023-09-03,73.34
U12704,M02385,2024-08-24,94.97
U12705,M00304,2025-01-05,68.63
U12706,M00172,2024-01-23,2.04
U12707,M00851,2023-08-26,13.78
U12708,M02083,2023-11-20,17.61
U12709,M01076,2023-07-25,49.46
U12710,M02080,2024-08-04,39.23
U12711,M00299,2024-11-04,68.96
U12712,M01249,2025-01-21,23.19
U12713,M00388,2023-09-26,56.48
U12714,M01822,2024-02-01,41.52
U12715,M02473,2025-04-28,32.81
U12716,M01334,2023-12-02,29.17
U12717,M01111,2024-06-17,65.37
U12718,M01564,2025-04-20,41.68
U12719,M02261,2023-10-05,98.68
U12720,M00101,2025-06-05,85.92
U12721,M02292,2024-09-19,70.31
U12722,M00715,2024-04-24,48.77
U12723,M02302,2025-05-07,78.93
U12724,M01227,2025-01-29,90.96
U12725,M00906,2024-03-23,41.39
U12726,M00300,2023-09-11,67.06
U12727,M02389,2024-04-05,27.49
U12728,M00636,2025-05-15,23.14
U12729,M00063,2024-08-07,45.41
U12730,M00393,2023-09-10,84.1
U12731,M01191,2025-03-09,9.06
U12732,M02207,2025-05-19,89.19
U12733,M01874,2023-08-18,67.57
U12734,M00136,2023-08-30,22.49
U12735,M02206,2025-02-01,52.08
U12736,M00191,2024-11-25,95.83
U12737,M01092,2024-09-04,59.17
U12738,M00803,2025-06-12,31.76
U12739,M00483,2025-02-11,77.61
U12740,M01048,2023-12-13,9.26
U12741,M02060,2024-08-06,35.87
U12742,M01525,2023-09-12,11.32
U12743,M00623,2024-02-02,17.82
U12744,M02473,2023-11-25,90.75
U12745,M00993,2024-09-30,95.47
U12746,M01626,2024-02-19,6.9
U12747,M00124,2023-07-14,78.1
U12748,M00957,2024-11-12,66.48
U12749,M00565,2024-07-10,56.88
U12750,M02075,2024-04-17,51.56
U12751,M00825,2023-11-12,38.62
U12752,M01112,2025-02-01,97.8
U12753,M00844,2025-02-03,92.21
U12754,M01407,2025-05-26,49.21
U12755,M01022,2025-01-09,70.34
U12756,M01039,2024-11-01,49.79
U12757,M01655,2023-08-02,61.68
U12758,M01712,2025-03-17,55.31
U12759,M00223,2023-12-24,68.05
U12760,M00872,2024-11-26,6.62
U12761,M00717,2024-01-14,66.98
U12762,M01047,2024-02-14,49.33
U12763,M02151,2025-06-12,56.47
U12764,M02322,2023-10-15,87.03
U12765,M00227,2023-08-28,70.53
U12766,M00518,2024-10-29,15.12
U12767,M02215,2023-07-29,33.97
U12768,M02138,2024-05-08,47.76
U12769,M02237,2023-10-12,96.4
U12770,M01116,2024-11-06,51.86
U12771,M01077,2023-07-17,78.59
U12772,M00295,2024-01-23,15.03
U12773,M01886,2024-04-18,65.88
U12774,M01665,2025-03-07,5.3
U12775,M00571,2025-05-30,48.53
U12776,M00832,2024-11-06,53.16
U12777,M01680,2024-11-17,11.0
U12778,M01641,2023-11-23,30.88
U12779,M01785,2023-07-08,66.9
U12780,M01762,2023-10-31,18.15
U12781,M01711,2023-08-09,41.1
U12782,M00751,2024-01-20,99.88
U12783,M01623,2024-11-23,7.72
U12784,M00482,2023-12-26,6.03
U12785,M00530,2023-12-22,33.88
U12786,M00402,2024-04-23,33.6
U12787,M00969,2024-05-06,64.16
U12788,M01299,2024-12-17,9.96
U12789,M00643,2023-07-19,99.83
U12790,M01931,2024-11-21,91.27
U12791,M00315,2024-11-22,87.66
U12792,M00776,2024-08-17,2.13
U12793,M01005,2023-06-20,47.19
U12794,M02162,2024-02-17,59.98
U12795,M01579,2025-01-14,80.57
U12796,M01078,2024-05-23,2.38
U12797,M00469,2024-02-01,65.28
U12798,M00687,2024-07-02,8.22
U12799,M00411,2024-03-20,90.18
U12800,M01983,2023-09-18,34.9
U12801,M01754,2023-12-11,11.58
U12802,M02113,2024-11-09,54.41
U12803,M01998,2024-12-13,46.78
U12804,M00083,2023-07-03,95.95
U12805,M00998,2023-06-25,19.24
U12806,M00313,2023-12-02,98.01
U12807,M00833,2024-11-27,27.36
U12808,M02122,2024-11-02,76.43
U12809,M02413,2024-05-07,12.57
U12810,M00826,2023-09-18,65.83
U12811,M01990,2024-02-23,67.67
U12812,M01369,2024-04-22,42.72
U12813,M00199,2025-02-05,8.7
U12814,M02110,2025-01-01,87.15
U12815,M01728,2023-12-29,61.23
U12816,M00819,2023-11-20,82.18
U12817,M01865,2023-10-27,91.89
U12818,M01774,2024-11-20,81.78
U12819,M01524,2024-01-27,76.5
U12820,M00080,2024-12-11,83.96
U12821,M00264,2023-09-10,3.19
U12822,M01709,2025-05-05,84.47
U12823,M01491,2023-12-06,57.65
U12824,M00835,2025-03-27,92.59
U12825,M00954,2024-10-04,94.0
U12826,M00555,2024-11-26,41.44
U12827,M01385,2025-04-29,18.16
U12828,M00288,2024-01-25,43.52
U12829,M00257,2023-12-17,97.58
U12830,M00119,2024-11-14,81.59
U12831,M00738,2024-03-22,41.43
U12832,M02045,2025-01-21,54.63
U12833,M00653,2024-05-11,13.62
U12834,M01903,2025-04-08,57.98
U12835,M00092,2025-04-14,64.2
U12836,M00033,2024-04-13,26.35
U12837,M02003,2025-02-25,27.05
U12838,M01784,2023-08-05,72.15
U12839,M02283,2024-08-19,39.94
U12840,M01652,2025-05-29,67.5
U12841,M02259,2025-04-05,32.39
U12842,M02474,2024-01-08,99.68
U12843,M01926,2025-04-05,9.47
U12844,M01367,2024-05-20,89.72
U12845,M00478,2025-06-05,51.85
U12846,M00750,2025-05-14,69.98
U12847,M01353,2025-02-27,4.62
U12848,M01451,2025-02-12,73.54
U12849,M01696,2024-08-29,57.84
U12850,M00220,2024-10-21,96.71
U12851,M00653,2024-11-05,71.34
U12852,M00121,2025-06-01,80.56
U12853,M00814,2023-07-01,95.07
U12854,M00523,2023-08-30,79.34
U12855,M00174,2024-10-28,37.85
U12856,M00631,2024-03-15,92.27
U12857,M00330,2024-05-01,90.75
U12858,M01919,2024-12-18,10.76
U12859,M00902,2024-01-23,43.48
U12860,M01358,2024-08-04,96.45
U12861,M01634,2025-03-16,12.96
U12862,M02166,2024-10-11,43.95
U12863,M00570,2024-09-25,22.66
U12864,M00153,2023-12-06,69.67
U12865,M01614,2023-12-20,39.93
