bookingID,guestID,roomID,checkIn,checkOut,status
B10997,G00105,R0997,2024-05-03,2024-05-03,Cancelled
B10998,G00071,R0262,2024-09-16,,Checked Out
B10999,G00922,R0542,2024-02-26,2024-02-26,Checked In
B11000,G01672,R0390,2024-10-04,2024-10-04,Checked Out
B11001,G00806,R0879,2024-08-10,2024-08-10,Checked Out
B11002,G00232,R0749,2024-08-23,2024-08-23,Checked In
B11003,G01888,R0161,2025-02-19,2025-02-19,Confirmed
B11004,G00502,R0195,2024-01-14,2024-01-14,Checked Out
B11005,G00652,R0831,2023-12-09,,Checked Out
B11006,G01853,R0086,2024-06-30,2024-06-30,Confirmed
B11007,G01852,R0540,2023-12-21,,Checked Out
B11008,G00427,R0376,2023-11-12,2023-11-12,Cancelled
B11009,G00323,R0599,2023-10-09,,Cancelled
B11010,G00911,R0010,2023-06-22,2023-06-22,Confirmed
B11011,G00620,R0984,2023-10-07,2023-10-07,Checked Out
B11012,G01447,R0045,2023-08-13,2023-08-13,Cancelled
B11013,G00296,R0524,2024-03-02,,Cancelled
B11014,G00025,R0527,2023-08-09,2023-08-09,Checked In
B11015,G00315,R0156,2024-03-17,2024-03-17,Checked Out
B11016,G01134,R0593,2023-08-20,2023-08-20,Cancelled
B11017,G01513,R0834,2024-12-10,2024-12-10,Cancelled
B11018,G01199,R0499,2024-04-23,,Checked Out
B11019,G00580,R0594,2024-02-04,2024-02-04,Confirmed
B11020,G01218,R0439,2025-03-28,2025-03-28,Confirmed
B11021,G01429,R0997,2023-12-05,2023-12-05,Checked In
B11022,G00045,R0829,2024-11-28,,Confirmed
B11023,G01341,R0124,2024-01-24,2024-01-24,Cancelled
B11024,G01782,R0558,2024-07-14,2024-07-14,Checked In
B11025,G01235,R0407,2024-08-15,2024-08-15,Checked In
B11026,G01981,R0351,2024-03-11,2024-03-11,Checked In
B11027,G00272,R0662,2025-01-06,2025-01-06,Confirmed
B11028,G01041,R0300,2025-03-20,2025-03-20,Checked In
B11029,G00268,R0885,2025-05-24,2025-05-24,Checked Out
B11030,G00063,R0896,2024-05-28,2024-05-28,Confirmed
B11031,G01707,R0715,2024-04-21,,Checked Out
B11032,G01790,R0498,2024-07-14,2024-07-14,Confirmed
B11033,G01293,R0893,2024-04-13,,Cancelled
B11034,G01560,R0207,2023-09-19,2023-09-19,Confirmed
B11035,G01376,R0161,2024-03-17,,Cancelled
B11036,G00327,R0270,2024-11-13,2024-11-13,Checked Out
B11037,G00385,R0536,2024-04-22,,Checked Out
B11038,G01564,R0685,2025-01-28,2025-01-28,Cancelled
B11039,G00183,R0283,2024-12-20,2024-12-20,Checked In
B11040,G00807,R0843,2024-01-27,2024-01-27,Cancelled
B11041,G01688,R0254,2024-05-02,2024-05-02,Checked In
B11042,G01863,R0762,2024-02-27,2024-02-27,Confirmed
B11043,G01964,R0078,2023-08-30,2023-08-30,Checked Out
B11044,G00388,R0775,2024-04-10,2024-04-10,Cancelled
B11045,G00234,R0567,2024-10-13,2024-10-13,Checked In
B11046,G01791,R0924,2023-07-20,2023-07-20,Checked Out
B11047,G00197,R0879,2023-07-13,2023-07-13,Checked Out
B11048,G01932,R0363,2024-06-28,2024-06-28,Cancelled
B11049,G00409,R0209,2024-11-04,2024-11-04,Checked In
B11050,G01889,R0341,2024-02-11,2024-02-11,Confirmed
B11051,G00437,R0274,2025-05-22,2025-05-22,Confirmed
B11052,G00585,R0919,2023-11-02,2023-11-02,Cancelled
B11053,G01371,R0956,2023-10-23,2023-10-23,Cancelled
B11054,G00119,R0637,2025-04-03,2025-04-03,Confirmed
B11055,G01798,R0722,2024-09-15,,Confirmed
B11056,G01995,R0046,2024-10-03,2024-10-03,Checked In
B11057,G00095,R0925,2025-05-29,,Checked Out
B11058,G01860,R0074,2025-05-04,,Confirmed
B11059,G00256,R0288,2023-07-30,2023-07-30,Cancelled
B11060,G00501,R0945,2023-06-22,,Checked Out
B11061,G01781,R0575,2024-08-11,2024-08-11,Checked Out
B11062,G00330,R0563,2024-08-01,2024-08-01,Checked In
B11063,G01613,R0445,2025-05-15,2025-05-15,Cancelled
B11064,G00458,R0227,2023-07-08,2023-07-08,Checked In
B11065,G01672,R0271,2024-10-15,,Cancelled
B11066,G01138,R0046,2023-07-02,2023-07-02,Cancelled
B11067,G01114,R0444,2024-11-01,2024-11-01,Cancelled
B11068,G01719,R0969,2024-06-21,2024-06-21,Checked Out
B11069,G00387,R0232,2025-04-08,2025-04-08,Checked In
B11070,G00659,R0690,2024-09-22,2024-09-22,Checked Out
B11071,G00622,R0675,2025-05-27,2025-05-27,Checked Out
B11072,G01016,R0090,2024-06-18,2024-06-18,Confirmed
B11073,G00829,R0977,2023-09-26,2023-09-26,Checked Out
B11074,G01720,R0820,2023-11-20,2023-11-20,Checked Out
B11075,G01958,R0979,2024-04-25,2024-04-25,Cancelled
B11076,G01512,R0880,2025-04-13,2025-04-13,Cancelled
B11077,G01711,R0129,2023-07-09,2023-07-09,Cancelled
B11078,G01466,R0649,2024-06-30,,Confirmed
B11079,G01470,R0780,2023-08-21,2023-08-21,Checked In
B11080,G01072,R0841,2024-08-14,,Checked In
B11081,G01607,R0349,2025-01-03,,Checked Out
B11082,G01126,R0715,2023-07-18,2023-07-18,Confirmed
B11083,G00422,R0222,2023-11-13,2023-11-13,Confirmed
B11084,G01138,R0494,2025-05-20,,Checked In
B11085,G00647,R0985,2023-10-08,,Cancelled
B11086,G00655,R0632,2024-01-08,2024-01-08,Checked Out
B11087,G01361,R0493,2024-07-12,2024-07-12,Checked Out
B11088,G00308,R0373,2024-01-27,2024-01-27,Cancelled
B11089,G01618,R0339,2025-04-06,2025-04-06,Cancelled
B11090,G01532,R0629,2024-11-12,2024-11-12,Checked Out
B11091,G00746,R0281,2025-04-18,2025-04-18,Cancelled
B11092,G01541,R0266,2025-03-02,2025-03-02,Confirmed
B11093,G00624,R0323,2024-04-13,2024-04-13,Checked Out
B11094,G00072,R0247,2024-07-28,2024-07-28,Checked Out
B11095,G01754,R0253,2024-06-27,2024-06-27,Confirmed
B11096,G00850,R0791,2024-09-15,2024-09-15,Checked Out
B11097,G00719,R0673,2024-12-18,2024-12-18,Checked Out
B11098,G01526,R0573,2024-12-10,2024-12-10,Cancelled
B11099,G00809,R0088,2024-06-25,2024-06-25,Checked In
B11100,G01432,R0389,2024-04-15,2024-04-15,Checked In
B11101,G00281,R0703,2023-12-23,,Checked In
B11102,G01134,R0704,2025-04-24,,Cancelled
B11103,G01227,R0919,2023-12-22,2023-12-22,Checked Out
B11104,G00071,R0833,2024-04-11,2024-04-11,Checked Out
B11105,G00521,R0034,2025-06-16,2025-06-16,Checked In
B11106,G01748,R0955,2024-12-21,2024-12-21,Confirmed
B11107,G00139,R0656,2025-02-04,,Checked Out
B11108,G00398,R0734,2025-01-09,2025-01-09,Confirmed
B11109,G01442,R0897,2025-04-16,2025-04-16,Confirmed
B11110,G01385,R0969,2024-05-17,2024-05-17,Checked In
B11111,G01435,R0495,2024-02-28,,Checked In
B11112,G01156,R0784,2025-06-02,2025-06-02,Checked Out
B11113,G01190,R0125,2024-10-07,2024-10-07,Checked Out
B11114,G01420,R0836,2023-10-08,2023-10-08,Confirmed
B11115,G00612,R0892,2024-01-03,2024-01-03,Cancelled
B11116,G00703,R0630,2025-04-03,2025-04-03,Checked Out
B11117,G00564,R0405,2025-05-16,2025-05-16,Checked Out
B11118,G00262,R0003,2024-04-26,2024-04-26,Confirmed
B11119,G01846,R0506,2024-08-09,2024-08-09,Checked In
B11120,G00286,R0863,2023-09-17,2023-09-17,Checked In
B11121,G00552,R0176,2024-05-14,2024-05-14,Cancelled
B11122,G00551,R0999,2024-04-26,2024-04-26,Confirmed
B11123,G01198,R0386,2023-10-27,2023-10-27,Cancelled
B11124,G01606,R0936,2024-01-01,2024-01-01,Cancelled
B11125,G00842,R0430,2024-03-09,,Confirmed
B11126,G01001,R0410,2023-09-02,,Checked In
B11127,G00345,R0504,2024-10-24,,Cancelled
B11128,G00700,R0540,2024-01-25,2024-01-25,Checked In
B11129,G00492,R0757,2025-04-29,2025-04-29,Cancelled
B11130,G01889,R0441,2023-12-24,2023-12-24,Confirmed
B11131,G01075,R0779,2024-11-24,,Cancelled
B11132,G00389,R0972,2023-11-13,2023-11-13,Checked Out
B11133,G00709,R0718,2024-02-16,2024-02-16,Cancelled
B11134,G00995,R0803,2024-01-30,2024-01-30,Confirmed
B11135,G01743,R0175,2023-11-11,,Confirmed
B11136,G00324,R0300,2025-03-11,2025-03-11,Checked Out
B11137,G01704,R0424,2023-10-27,2023-10-27,Checked In
B11138,G01677,R0149,2024-02-21,2024-02-21,Checked Out
B11139,G01995,R0226,2024-11-14,,Confirmed
B11140,G00209,R0242,2024-07-30,2024-07-30,Checked Out
B11141,G00681,R0424,2024-04-17,2024-04-17,Checked In
B11142,G00411,R0183,2023-07-02,2023-07-02,Confirmed
B11143,G01932,R0833,2023-12-15,,Confirmed
B11144,G01467,R0058,2024-01-10,2024-01-10,Checked In
B11145,G00374,R0259,2024-07-23,2024-07-23,Checked In
B11146,G00143,R0955,2025-04-29,2025-04-29,Checked In
B11147,G01711,R0244,2023-09-28,2023-09-28,Checked Out
B11148,G00348,R0855,2024-05-03,,Confirmed
B11149,G00297,R0594,2024-02-04,2024-02-04,Confirmed
B11150,G01451,R0159,2024-11-01,2024-11-01,Checked In
B11151,G00695,R0261,2024-07-12,2024-07-12,Checked In
B11152,G01312,R0568,2023-10-17,2023-10-17,Checked Out
B11153,G00383,R0454,2025-03-14,,Checked In
B11154,G00431,R0592,2024-09-06,2024-09-06,Checked Out
B11155,G01278,R0539,2024-02-21,2024-02-21,Confirmed
B11156,G00106,R0427,2023-10-06,2023-10-06,Checked In
B11157,G01559,R0865,2023-08-20,2023-08-20,Cancelled
B11158,G01126,R0225,2025-04-14,2025-04-14,Checked Out
B11159,G00048,R0862,2023-10-08,2023-10-08,Checked In
B11160,G00222,R0945,2024-08-16,2024-08-16,Cancelled
B11161,G00841,R0735,2024-03-10,,Checked Out
B11162,G00379,R0389,2025-04-07,2025-04-07,Cancelled
B11163,G00654,R0120,2024-03-09,2024-03-09,Checked In
B11164,G01705,R0568,2025-06-06,,Checked Out
B11165,G00175,R0223,2025-04-26,2025-04-26,Checked Out
B11166,G01026,R0044,2024-02-27,2024-02-27,Checked In
B11167,G01602,R0083,2025-03-22,,Checked Out
B11168,G00436,R0559,2025-01-25,2025-01-25,Confirmed
B11169,G00748,R0426,2023-12-19,2023-12-19,Confirmed
B11170,G00021,R0663,2025-05-18,2025-05-18,Checked Out
B11171,G00895,R0578,2024-11-04,2024-11-04,Checked In
B11172,G00426,R0290,2025-02-05,2025-02-05,Checked Out
B11173,G00019,R0628,2025-06-04,,Confirmed
B11174,G00028,R0195,2025-02-02,,Confirmed
B11175,G01714,R0136,2023-09-13,2023-09-13,Confirmed
B11176,G00530,R0812,2025-02-13,2025-02-13,Cancelled
B11177,G00115,R0846,2023-06-23,2023-06-23,Cancelled
B11178,G00608,R0545,2023-12-29,2023-12-29,Confirmed
B11179,G01046,R0693,2024-11-07,,Confirmed
B11180,G00224,R0639,2024-12-06,2024-12-06,Cancelled
B11181,G01231,R0964,2023-11-21,2023-11-21,Checked Out
B11182,G00060,R0016,2024-11-03,2024-11-03,Checked Out
B11183,G00346,R0305,2024-04-29,2024-04-29,Checked In
B11184,G01404,R0129,2023-08-17,2023-08-17,Confirmed
B11185,G00684,R0062,2025-04-10,2025-04-10,Checked Out
B11186,G01951,R0428,2023-08-20,2023-08-20,Checked In
B11187,G00133,R0428,2023-09-07,2023-09-07,Checked In
B11188,G00784,R0578,2023-12-24,2023-12-24,Checked In
B11189,G01063,R0089,2024-08-13,2024-08-13,Confirmed
B11190,G00013,R0421,2024-06-26,2024-06-26,Checked In
B11191,G01624,R0378,2023-08-08,2023-08-08,Cancelled
B11192,G00749,R0598,2025-04-12,,Confirmed
B11193,G01014,R0587,2024-09-23,2024-09-23,Cancelled
B11194,G00345,R0113,2025-04-13,2025-04-13,Cancelled
B11195,G00469,R0684,2023-10-31,2023-10-31,Checked In
B11196,G00565,R0034,2024-01-19,2024-01-19,Confirmed
B11197,G01711,R0126,2024-01-13,,Checked In
B11198,G01313,R0886,2023-11-20,2023-11-20,Confirmed
B11199,G01502,R0946,2023-12-15,,Confirmed
B11200,G00824,R0461,2023-08-04,2023-08-04,Checked In
B11201,G01780,R0926,2025-03-10,,Checked In
B11202,G01677,R0258,2025-03-28,,Checked Out
B11203,G00031,R0601,2024-01-11,,Confirmed
B11204,G00464,R0257,2024-10-09,,Checked In
B11205,G01648,R0139,2023-11-01,2023-11-01,Checked In
B11206,G01634,R0949,2024-11-27,2024-11-27,Checked Out
B11207,G01492,R0158,2023-10-30,2023-10-30,Confirmed
B11208,G01713,R0602,2023-12-27,2023-12-27,Cancelled
B11209,G00875,R0586,2023-08-13,2023-08-13,Cancelled
B11210,G01386,R0118,2024-03-29,,Confirmed
B11211,G01198,R0625,2024-10-15,2024-10-15,Confirmed
B11212,G01174,R0086,2023-06-21,,Checked In
B11213,G01863,R0293,2024-07-30,,Checked In
B11214,G01357,R0931,2025-05-31,2025-05-31,Checked Out
B11215,G00976,R0245,2025-06-04,2025-06-04,Checked In
B11216,G00478,R0510,2024-08-12,,Cancelled
B11217,G01292,R0818,2024-11-09,2024-11-09,Cancelled
B11218,G01163,R0013,2024-12-03,2024-12-03,Confirmed
B11219,G01142,R0256,2024-09-22,,Cancelled
B11220,G00100,R0818,2025-02-28,2025-02-28,Confirmed
B11221,G00923,R0790,2024-03-19,2024-03-19,Checked In
B11222,G01795,R0926,2025-05-02,2025-05-02,Checked In
B11223,G00382,R0137,2024-12-26,2024-12-26,Cancelled
B11224,G01510,R0540,2023-06-23,2023-06-23,Cancelled
B11225,G00455,R0696,2024-01-31,2024-01-31,Checked Out
B11226,G01304,R0299,2025-05-03,2025-05-03,Checked In
B11227,G00897,R0122,2024-11-02,2024-11-02,Confirmed
B11228,G00638,R0642,2025-03-21,,Checked In
B11229,G00461,R0171,2023-06-24,2023-06-24,Checked In
B11230,G00265,R0421,2023-12-06,2023-12-06,Confirmed
B11231,G00826,R0855,2023-11-22,2023-11-22,Checked Out
B11232,G00578,R0771,2024-12-02,2024-12-02,Checked In
B11233,G00057,R0137,2024-07-26,2024-07-26,Cancelled
B11234,G00264,R0112,2023-08-16,2023-08-16,Cancelled
B11235,G00907,R0799,2025-03-27,,Confirmed
B11236,G00806,R0461,2024-07-22,2024-07-22,Checked In
B11237,G00634,R0020,2024-05-25,,Checked Out
B11238,G00810,R0923,2024-12-22,,Checked In
B11239,G01739,R0972,2025-05-11,2025-05-11,Checked In
B11240,G00251,R0617,2025-03-19,2025-03-19,Confirmed
B11241,G01227,R0306,2023-09-09,2023-09-09,Confirmed
B11242,G00805,R0298,2024-03-25,2024-03-25,Cancelled
B11243,G01053,R0132,2025-03-13,2025-03-13,Confirmed
B11244,G00352,R0248,2025-01-28,2025-01-28,Checked In
B11245,G01084,R0330,2024-02-17,,Cancelled
B11246,G01396,R0484,2023-11-25,2023-11-25,Checked Out
B11247,G01783,R0534,2025-06-18,2025-06-18,Checked Out
B11248,G00424,R0635,2024-10-09,,Checked In
B11249,G01315,R0307,2024-08-17,2024-08-17,Checked Out
B11250,G01464,R0619,2025-06-18,2025-06-18,Cancelled
B11251,G00788,R0486,2024-07-13,2024-07-13,Checked In
B11252,G01572,R0180,2025-03-20,2025-03-20,Checked In
B11253,G00444,R0973,2024-03-31,2024-03-31,Confirmed
B11254,G00626,R0959,2023-10-02,,Cancelled
B11255,G00112,R0206,2025-02-02,2025-02-02,Cancelled
B11256,G01945,R0876,2024-11-01,2024-11-01,Checked In
B11257,G01814,R0422,2024-11-19,,Confirmed
B11258,G01446,R0114,2024-01-10,2024-01-10,Checked In
B11259,G00823,R0022,2024-04-15,2024-04-15,Checked In
B11260,G00496,R0494,2025-03-02,2025-03-02,Confirmed
B11261,G00057,R0736,2024-10-07,2024-10-07,Checked In
B11262,G00373,R0885,2023-08-09,2023-08-09,Checked Out
B11263,G01805,R0796,2024-02-23,2024-02-23,Cancelled
B11264,G00590,R0034,2023-08-29,2023-08-29,Cancelled
B11265,G01625,R0997,2024-07-01,2024-07-01,Confirmed
B11266,G01970,R0142,2025-01-21,,Confirmed
B11267,G00766,R0331,2024-04-28,2024-04-28,Cancelled
B11268,G00470,R0270,2023-08-29,2023-08-29,Confirmed
B11269,G00165,R0487,2024-09-23,2024-09-23,Checked Out
B11270,G00679,R0662,2024-03-01,,Confirmed
B11271,G01911,R0610,2023-06-26,2023-06-26,Checked In
B11272,G01819,R0528,2025-06-13,2025-06-13,Checked In
B11273,G01798,R0752,2025-01-24,,Cancelled
B11274,G00164,R0392,2023-11-18,,Confirmed
B11275,G01979,R0667,2024-06-18,2024-06-18,Checked In
B11276,G01760,R0477,2025-02-26,2025-02-26,Checked In
B11277,G00005,R0837,2024-10-10,2024-10-10,Checked Out
B11278,G00339,R0698,2023-10-12,2023-10-12,Checked Out
B11279,G00054,R0653,2023-10-30,,Checked Out
B11280,G00464,R0219,2023-09-14,2023-09-14,Confirmed
B11281,G01801,R0698,2025-01-25,2025-01-25,Checked In
B11282,G00383,R0342,2023-12-09,2023-12-09,Checked In
B11283,G01808,R0375,2023-07-17,2023-07-17,Cancelled
B11284,G00506,R0125,2023-09-05,2023-09-05,Cancelled
B11285,G00486,R0239,2024-07-11,2024-07-11,Checked Out
B11286,G01258,R0565,2024-10-03,2024-10-03,Checked Out
B11287,G01134,R0580,2024-09-01,2024-09-01,Checked Out
B11288,G00998,R0376,2024-03-26,2024-03-26,Cancelled
B11289,G01416,R0527,2024-10-12,2024-10-12,Cancelled
B11290,G00181,R0132,2024-06-10,2024-06-10,Confirmed
B11291,G00235,R0290,2024-12-07,2024-12-07,Cancelled
B11292,G00154,R0289,2024-08-30,,Checked In
B11293,G00500,R0689,2025-05-22,2025-05-22,Cancelled
B11294,G01079,R0221,2024-09-19,2024-09-19,Cancelled
B11295,G00899,R0577,2023-10-23,2023-10-23,Checked In
B11296,G01231,R0023,2025-04-09,2025-04-09,Confirmed
B11297,G01088,R0677,2024-04-16,,Confirmed
B11298,G00708,R0215,2024-08-05,2024-08-05,Confirmed
B11299,G01822,R0030,2024-01-03,2024-01-03,Confirmed
B11300,G00815,R0530,2023-06-24,2023-06-24,Confirmed
B11301,G00763,R0337,2023-09-16,2023-09-16,Checked Out
B11302,G00838,R0059,2024-08-05,2024-08-05,Cancelled
B11303,G01016,R0325,2025-04-11,2025-04-11,Checked Out
B11304,G01019,R0715,2023-09-04,2023-09-04,Checked In
B11305,G01175,R0514,2024-02-05,2024-02-05,Checked In
B11306,G01498,R0684,2025-03-30,,Cancelled
B11307,G01159,R0608,2024-05-24,2024-05-24,Cancelled
B11308,G01110,R0563,2024-10-22,2024-10-22,Checked In
B11309,G00070,R0555,2023-12-14,2023-12-14,Checked In
B11310,G00972,R0664,2025-05-06,2025-05-06,Confirmed
B11311,G00582,R0513,2025-05-20,2025-05-20,Confirmed
B11312,G01862,R0814,2024-10-29,2024-10-29,Checked Out
B11313,G00387,R0999,2024-06-02,2024-06-02,Confirmed
B11314,G01720,R0991,2023-12-20,2023-12-20,Cancelled
B11315,G00967,R0661,2024-08-09,2024-08-09,Cancelled
B11316,G00675,R0388,2023-07-27,,Checked In
B11317,G00883,R0092,2024-02-19,2024-02-19,Checked In
B11318,G00156,R0750,2024-01-10,2024-01-10,Cancelled
B11319,G00941,R0067,2024-12-03,2024-12-03,Cancelled
B11320,G00431,R0085,2024-11-20,2024-11-20,Confirmed
B11321,G00009,R0045,2025-02-05,2025-02-05,Confirmed
B11322,G00657,R0683,2023-09-24,2023-09-24,Checked In
B11323,G00080,R0564,2025-04-30,2025-04-30,Cancelled
B11324,G00982,R0776,2024-02-18,2024-02-18,Cancelled
B11325,G00909,R0889,2024-01-04,2024-01-04,Checked Out
B11326,G00394,R0511,2024-06-22,2024-06-22,Cancelled
B11327,G01421,R0340,2023-07-28,2023-07-28,Checked In
B11328,G00159,R0893,2024-10-06,,Cancelled
B11329,G00701,R0791,2025-01-12,2025-01-12,Checked Out
B11330,G00752,R0162,2024-07-23,2024-07-23,Checked In
B11331,G00766,R0742,2023-09-16,,Checked In
B11332,G00980,R0472,2024-11-08,2024-11-08,Checked Out
B11333,G00495,R0470,2024-01-31,,Checked In
B11334,G00152,R0997,2023-08-15,2023-08-15,Checked Out
B11335,G01062,R0723,2024-07-04,2024-07-04,Cancelled
B11336,G01763,R0528,2023-12-05,2023-12-05,Cancelled
B11337,G01400,R0860,2025-05-16,2025-05-16,Confirmed
B11338,G00733,R0053,2023-07-14,,Checked In
B11339,G01799,R0327,2023-12-29,2023-12-29,Checked Out
B11340,G01110,R0747,2025-05-06,2025-05-06,Cancelled
B11341,G00582,R0249,2023-09-27,2023-09-27,Checked In
B11342,G01602,R0979,2024-06-24,2024-06-24,Checked In
B11343,G01062,R0740,2024-09-27,,Confirmed
B11344,G01627,R0661,2025-04-30,2025-04-30,Checked Out
B11345,G01614,R0251,2023-10-11,2023-10-11,Cancelled
B11346,G01043,R0046,2023-10-30,,Cancelled
B11347,G00447,R0889,2024-08-25,2024-08-25,Checked In
B11348,G00409,R0099,2024-05-26,2024-05-26,Confirmed
B11349,G01395,R0817,2023-11-09,,Checked In
B11350,G00030,R0453,2024-06-30,2024-06-30,Cancelled
B11351,G00142,R0795,2024-08-01,,Confirmed
B11352,G01075,R0224,2023-10-13,2023-10-13,Checked Out
B11353,G01683,R0255,2024-11-22,2024-11-22,Checked Out
B11354,G00348,R0990,2024-04-28,2024-04-28,Cancelled
B11355,G00834,R0631,2023-08-24,2023-08-24,Confirmed
B11356,G01551,R0444,2024-05-12,2024-05-12,Confirmed
B11357,G00778,R0670,2023-11-02,2023-11-02,Cancelled
B11358,G00307,R0989,2024-06-11,,Confirmed
B11359,G01447,R0519,2024-05-30,,Confirmed
B11360,G01034,R0547,2024-12-23,2024-12-23,Confirmed
B11361,G01031,R0240,2024-02-26,2024-02-26,Cancelled
B11362,G01092,R0242,2024-05-25,2024-05-25,Confirmed
B11363,G00807,R0883,2023-08-02,2023-08-02,Checked In
B11364,G01547,R0719,2024-05-05,2024-05-05,Cancelled
B11365,G00019,R0353,2025-03-01,,Checked Out
B11366,G00092,R0522,2025-02-21,,Confirmed
B11367,G00152,R0191,2024-12-25,2024-12-25,Checked In
B11368,G00786,R0047,2025-01-19,2025-01-19,Checked In
B11369,G00823,R0985,2023-10-17,2023-10-17,Cancelled
B11370,G01855,R0564,2023-06-24,2023-06-24,Checked In
B11371,G01359,R0547,2023-12-28,2023-12-28,Checked In
B11372,G01537,R0750,2025-05-04,,Checked Out
B11373,G01418,R0031,2024-04-16,2024-04-16,Checked Out
B11374,G01726,R0920,2024-11-11,2024-11-11,Checked In
B11375,G01600,R0697,2025-01-23,2025-01-23,Checked In
B11376,G01483,R0320,2023-10-22,2023-10-22,Checked In
B11377,G01091,R0014,2025-02-04,,Cancelled
B11378,G00564,R0935,2023-12-01,2023-12-01,Confirmed
B11379,G00253,R0837,2024-08-06,2024-08-06,Checked In
B11380,G00248,R0324,2023-08-18,2023-08-18,Cancelled
B11381,G01500,R0473,2024-03-14,2024-03-14,Checked Out
B11382,G00181,R0816,2024-04-21,2024-04-21,Checked Out
B11383,G01818,R0560,2023-08-13,2023-08-13,Cancelled
B11384,G00008,R0743,2024-07-10,2024-07-10,Checked Out
B11385,G00011,R0667,2023-10-24,2023-10-24,Confirmed
B11386,G00865,R0480,2025-03-06,2025-03-06,Checked In
B11387,G01387,R0036,2024-02-16,2024-02-16,Checked Out
B11388,G01349,R0971,2024-05-11,2024-05-11,Cancelled
B11389,G01047,R0764,2024-06-07,2024-06-07,Cancelled
B11390,G01454,R0456,2023-10-07,2023-10-07,Checked In
B11391,G00679,R0155,2024-06-15,2024-06-15,Checked In
B11392,G01599,R0869,2023-10-06,2023-10-06,Confirmed
B11393,G00296,R0001,2023-08-29,2023-08-29,Checked In
B11394,G01570,R0454,2024-02-09,2024-02-09,Confirmed
B11395,G01303,R0080,2024-02-01,2024-02-01,Cancelled
B11396,G00490,R0631,2024-09-30,2024-09-30,Checked In
B11397,G01966,R0884,2024-04-24,2024-04-24,Cancelled
B11398,G00638,R0339,2023-09-14,,Cancelled
B11399,G01934,R0417,2023-07-29,2023-07-29,Checked Out
B11400,G00461,R0724,2024-05-24,2024-05-24,Checked In
B11401,G00040,R0638,2025-04-17,2025-04-17,Checked In
B11402,G00251,R0126,2024-12-17,2024-12-17,Cancelled
B11403,G01424,R0305,2025-02-08,2025-02-08,Checked In
B11404,G01588,R0626,2024-10-29,2024-10-29,Cancelled
B11405,G00618,R0604,2025-02-07,,Confirmed
B11406,G00132,R0470,2024-03-09,2024-03-09,Confirmed
B11407,G00542,R0567,2024-02-22,,Cancelled
B11408,G01650,R0748,2024-09-21,,Checked In
B11409,G01847,R0766,2025-03-16,2025-03-16,Checked In
B11410,G00149,R0871,2024-08-17,2024-08-17,Cancelled
B11411,G00143,R0010,2025-01-18,2025-01-18,Checked In
B11412,G01210,R0546,2024-10-16,2024-10-16,Confirmed
B11413,G01214,R0616,2023-12-15,,Cancelled
B11414,G00153,R0213,2025-06-09,2025-06-09,Confirmed
B11415,G00324,R0580,2024-06-18,2024-06-18,Checked In
B11416,G01799,R0636,2025-06-08,2025-06-08,Cancelled
B11417,G00827,R0095,2024-11-18,,Checked Out
B11418,G00840,R0204,2024-03-19,2024-03-19,Cancelled
B11419,G00310,R0060,2023-12-04,2023-12-04,Cancelled
B11420,G00396,R0442,2025-03-11,2025-03-11,Cancelled
B11421,G01249,R0541,2025-05-13,2025-05-13,Checked In
B11422,G00250,R0123,2023-06-29,2023-06-29,Checked Out
B11423,G01498,R0133,2024-10-20,2024-10-20,Checked In
B11424,G01209,R0886,2023-10-29,,Checked Out
B11425,G00488,R0504,2023-07-29,2023-07-29,Checked In
B11426,G00300,R0664,2023-11-23,2023-11-23,Confirmed
B11427,G01658,R0578,2023-06-24,2023-06-24,Cancelled
B11428,G01260,R0032,2024-01-23,2024-01-23,Confirmed
B11429,G00208,R0533,2024-09-28,2024-09-28,Checked Out
B11430,G00336,R0985,2024-12-30,2024-12-30,Checked In
B11431,G00827,R0233,2023-08-07,,Confirmed
B11432,G00926,R0795,2024-02-07,,Checked Out
B11433,G00827,R0166,2024-03-04,2024-03-04,Checked In
B11434,G00996,R0738,2024-09-01,2024-09-01,Checked Out
B11435,G01711,R0871,2023-10-15,,Checked In
B11436,G01946,R0702,2024-03-28,2024-03-28,Checked Out
B11437,G01381,R0732,2023-09-09,2023-09-09,Cancelled
B11438,G00148,R0681,2024-09-24,2024-09-24,Checked In
B11439,G01069,R0098,2024-04-13,2024-04-13,Checked Out
B11440,G00609,R0526,2024-12-31,2024-12-31,Confirmed
B11441,G01041,R0151,2025-01-27,2025-01-27,Checked Out
B11442,G00361,R0202,2024-05-08,,Cancelled
B11443,G00050,R0248,2023-10-21,2023-10-21,Confirmed
B11444,G01952,R0467,2023-08-19,2023-08-19,Confirmed
B11445,G00233,R0534,2025-04-29,2025-04-29,Cancelled
B11446,G01368,R0518,2023-12-15,2023-12-15,Cancelled
B11447,G01371,R0873,2023-07-02,2023-07-02,Checked Out
B11448,G01455,R0419,2024-01-24,2024-01-24,Checked Out
B11449,G01867,R0793,2024-11-20,2024-11-20,Confirmed
B11450,G01803,R0766,2024-08-15,2024-08-15,Checked Out
B11451,G00277,R0619,2024-10-03,2024-10-03,Checked In
B11452,G00625,R0168,2023-06-30,2023-06-30,Confirmed
B11453,G01163,R0686,2023-10-11,2023-10-11,Checked In
B11454,G00946,R0745,2024-10-22,2024-10-22,Cancelled
